Country,OverallCDI,OverallCV,OverallPC,OverallPop08,WeatherCDI,WeatherCV,WeatherPC,SeaCDI,SeaCV,SeaPC,SeaPop08,AgCDI,AgCV,AgPC,AgPop08,Income_per_cap,KKM_score,Area,Island,Sm_Island,Region,WBRegion,Subregion,ISO3,IncomeStatus,WBLendingClass
Guatemala,20.029,0.885,20.034,13002.21,0.34041,0.04345,0.34979,1.04000,0.14311,0.78141,50.46,39.430,1.622,39.876,6685.73,5174,-0.12,108889,0,0,Latin America & Caribbean,LCR,Central America,GTM,Lower Middle Income,IBRD
Guernsey,5.216,0.022,5.880,64.10,0.00044,0.00001,0.00051,33.18000,0.44255,28.22156,6.49,8.320,0.033,9.480,15.51,46726,1.44,78,1,1,Europe,ECA,Western Europe,GGY,High Income OECD,NC
Guinea,34.929,8.796,27.835,9806.51,0.01353,0.00984,0.01108,6.27000,4.94136,3.77247,434.74,54.410,12.755,43.833,6429.15,1189,-1.15,245857,0,0,Africa,SSA,Coastal West Africa,GIN,Low Income,IDA
Guinea-Bissau,39.100,21.078,35.048,1503.18,0.04242,0.06603,0.03906,22.54000,38.00329,15.24580,136.13,54.410,27.303,49.305,1054.63,481,-1.22,36125,0,0,Africa,SSA,Coastal West Africa,GNB,Low Income,IDA
Guyana,34.698,2.465,30.655,758.06,0.22409,0.04598,0.20338,41.22000,9.15809,27.47785,90.75,42.680,2.822,38.119,542.92,3735,-0.55,214969,0,0,Latin America & Caribbean,LCR,Northern South America,GUY,Lower Middle Income,IDA
Haiti,34.680,6.965,31.483,9639.08,0.65812,0.38174,0.61377,9.94000,6.24273,6.80770,277.66,65.390,12.226,60.013,5124.13,1274,-0.89,27750,1,0,Latin America & Caribbean,LCR,Caribbean Islands,HTI,Low Income,IDA
Honduras,25.701,1.651,25.884,7675.85,5.82548,1.08061,6.02731,5.97000,1.19846,4.53378,106.00,39.430,2.358,40.151,4000.65,3527,-0.27,112090,0,0,Latin America & Caribbean,LCR,Central America,HND,Lower Middle Income,IDA
"Hong Kong SAR, China",14.259,0.057,19.089,7018.64,14.34621,0.16544,19.73067,10.13000,0.12652,10.23386,231.81,4.990,0.019,6.756,0.00,40536,2,1104,0,0,Asia,EAP,China,HKG,High Income Non OECD,NC
Hungary,2.635,0.025,3.338,10020.48,0.00941,0.00025,0.01224,0.00000,0.00000,0.00000,,8.320,0.072,10.653,3256.66,18462,1.26,93028,0,0,Europe,ECA,Eastern Europe,HUN,High Income OECD,NC
Iceland,3.668,0.022,3.983,304.37,0.01641,0.00028,0.01831,18.43000,0.34491,15.09747,19.46,33.360,0.186,36.622,23.56,34799,1.12,103000,1,0,Oceania,ECA,Atlantic Islands,ISL,High Income OECD,NC
India,90.783,7.450,100.000,1140566.25,49.75595,11.79169,56.30435,5.44000,1.39649,4.52260,20995.28,61.900,4.728,68.928,803642.94,2475,-0.21,3287263,0,0,Asia,SAS,Southern Asia,IND,Lower Middle Income,Blend
